Neighborhoods,r0,r1,Rpl1,Ln(Rpl1),Rpl2,Rpl3,Rpl4,Rpl Overall,Raw Visitor,Ln(Visitors),Raw Visits,Ln(Visits),Tot pop,Sum of Area Sqmi,Pop Dens,Ln(pop dens),Males,Males perc,Females,Female perc,White pop,White perc,Asian pop,Asian perc,Ln(Asian perc+1),Afri Amer perc,Afri Amer pop,Ln(Afri Amer perc+1),Pacific Isl pop,Pacific Isl perc,Log(Pacific Isl perc+1),Other pop,Two or more pop
Acton,100.36,138,2.05135,0.718498113,1.2531,1.56505,0.2628,2.05135,2129,7.663407665,4661,8.446985296,7613,67.66479326,112.5105041,4.723046587,4102,0.538815185,3669,0.481938789,6371,0.836858006,114,0.014974386,0.014863377,0.003021148,23,0.003016594,5,0.000656771,0.000656555,807,271
Adams-Normandie,402.34,670.57,0.155657794,-1.860095309,3.46428,2.06192,1.67858,3.34084,51900,10.85707407,93768,11.44857893,18237,0.778288968,23432.17076,10.06186518,8335,0.45703789,9197,0.504304436,3922,0.215057301,1391,0.07627351,0.073504621,0.007402533,135,0.007375269,11,0.000603169,0.000602987,7793,367
Agoura Hills,153.23,167.6,1.803121437,0.589519295,0.644633333,1.737233333,0.339366667,1.367333333,14395,9.574636203,26624,10.18956834,18943,5.40936431,3501.890225,8.161058166,9129,0.481919443,9729,0.513593412,16124,0.851185134,1189,0.062767249,0.060876119,0.000527899,10,0.00052776,0,0,0,601,636
Agua Dulce,72.15,216.45,1.6411,0.495366749,1.2519,1.423,0.3048,1.6411,53982.93893,10.89642333,101468.8244,11.52750688,4074,31.854393,127.8944477,4.851205296,1966,0.48257241,1753,0.430289642,3200,0.785468827,68,0.016691213,0.016553446,0,0,0,0,0,0,75,370
Alhambra,149.9,253.68,0.381550398,-0.963512332,2.076255,1.66798,1.68503,2.54648,16944,9.737669068,29971,10.30798553,84974,7.63100796,11135.35727,9.317880664,41442,0.487702121,43424,0.511026902,19352,0.22774025,43124,0.507496411,0.410450269,0.004036529,343,0.004028404,138,0.001624026,0.001622709,17814,2532
Altadena,240.72,359.93,1.119887162,0.113227932,1.4232375,1.8922125,0.922125,1.85495,32121,10.3772653,65521,11.09012598,44389,8.959097295,4954.628635,8.508077496,21700,0.488859853,22487,0.50658947,23663,0.53308252,3340,0.075243867,0.072547489,0.003334159,148,0.003328613,8,0.000180225,0.000180209,4396,2770
Arcadia,152.28,277.67,0.817953682,-0.200949567,1.405354545,1.769390909,1.351672727,1.671363636,44185,10.69614064,84922,11.34948847,52336,8.997490504,5816.733008,8.668494044,25623,0.489586518,28902,0.552239376,16236,0.310226231,32260,0.616401712,0.480202513,0.003057169,160,0.003052505,75,0.001433048,0.001432022,2935,1943
Arleta,500.44,852.49,0.447970277,-0.803028395,2.511916667,1.978633333,1.671666667,2.702566667,53982.93893,10.89642333,101468.8244,11.52750688,32949,2.687821659,12258.62582,9.413985117,15639,0.47464263,15228,0.462168806,18450,0.559956296,3043,0.092354851,0.08833578,0.005918237,195,0.005900793,0,0,0,7970,781
Artesia,89.31,226.26,0.540214485,-0.615789024,2.189966667,2.023266667,1.439666667,3.138533333,53982.93893,10.89642333,101468.8244,11.52750688,16817,1.620643454,10376.74262,9.247322294,8276,0.492121068,8513,0.50621395,6585,0.391568056,6299,0.374561456,0.318134739,0.001724446,29,0.001722961,28,0.001664982,0.001663597,2804,618
Atwater Village,259.1,354.56,0.484335615,-0.724977193,1.671066667,1.5285,1.214566667,2.1768,13880,9.538204234,25538,10.14792282,11185,1.453006846,7697.830214,8.948693778,5154,0.460795709,5205,0.465355387,5308,0.474564148,2423,0.216629414,0.19608426,0.004291462,48,0.00428228,47,0.004202056,0.004193252,2074,300
Avalon,0,0,1.222340244,0.200767254,1.4764,2.1242,0.7792,3.6828,762,6.635946556,2252,7.719573989,3669,1.222340244,3001.619245,8.00690717,1641,0.447260834,1940,0.528754429,2705,0.737258108,3,0.000817661,0.000817327,0,0,0,0,0,0,527,338
Avocado Heights,206.64,472.32,0.703458925,-0.351745791,2.7255,2.155,1.66505,1.73195,53982.93893,10.89642333,101468.8244,11.52750688,9957,1.40691785,7077.172274,8.864629711,4917,0.493823441,5206,0.522848247,4675,0.469518931,970,0.097418901,0.092960969,0.000803455,8,0.000803132,0,0,0,4351,108
Azusa,425.36,786.48,0.944396148,-0.057209553,2.05943,1.82823,1.24702,1.95363,50183,10.8234316,91060,11.41927391,38057,9.443961484,4029.770776,8.301464774,20162,0.529784271,20184,0.530362351,17173,0.451244186,3690,0.096959823,0.092542556,0.006700476,255,0.006678128,77,0.002023281,0.002021237,16772,1417
Baldwin Park,205.81,465.03,0.4077025,-0.897217537,2.59013125,1.8386125,1.79369375,2.3861625,53982.93893,10.89642333,101468.8244,11.52750688,74901,6.523240007,11482.17756,9.348551335,38590,0.515213415,36991,0.493865235,26248,0.350435909,13444,0.17949026,0.165082362,0.011708789,877,0.011640772,254,0.003391143,0.003385406,31713,1436
Bell,448.64,957.83,0.260943286,-1.34345219,3.191671429,2.043585714,1.854642857,2.736057143,53982.93893,10.89642333,101468.8244,11.52750688,35270,1.826603003,19309.06713,9.868330064,18018,0.510859087,17368,0.492429827,24675,0.699603062,354,0.010036859,0.009986824,0.003373972,119,0.003368293,109,0.003090445,0.003085679,9402,410
Bell Gardens,325.04,752.25,0.2731739,-1.29764669,3.434455556,2.148922222,1.881755556,2.928666667,53982.93893,10.89642333,101468.8244,11.52750688,42641,2.458565103,17343.85636,9.760993622,21392,0.50167679,21413,0.502169274,31329,0.734715415,340,0.007973547,0.007941926,0.003330128,142,0.003324595,9,0.000211064,0.000211042,10188,423
Bellflower,241.85,541.58,0.339950134,-1.078956337,2.426333333,2.114605556,1.366,2.8945,58573,10.97802912,106941,11.58003256,77529,6.119102412,12669.9955,9.446991918,37685,0.486076178,40002,0.515961769,27869,0.35946549,10096,0.130222239,0.122414285,0.004862697,377,0.004850912,87,0.001122161,0.001121532,25453,3252
Beverly Crest,279.44,295.41,3.084289726,1.126321396,0.5416,1.555566667,0.1922,0.477833333,4802,8.476787777,10803,9.287579152,10880,9.252869178,1175.851489,7.069747836,5295,0.486672794,5773,0.530606618,9315,0.856158088,1030,0.094669118,0.090452142,0,0,0,0,0,0,120,449
