Afri Amer perc,Afri Amer pop,Asian perc,Asian pop,Female perc,Females,Log(Afri Amer perc+1),Log(Asian perc+1),Log(Pacific Isl perc+1),Log(Rpl1),Log(pop dens),Males,Males perc,Neighborhoods,Other pop,Pacific Isl perc,Pacific Isl pop,Pred Formula Risk Score Tentative 2,Pred Formula Risk Score Tentative,r0,r1,Log[r1+1],Risk Score Tentative,Rpl1,Rpl2,Rpl3,Rpl4,Rpl Overall,Sum of Area Sqmi,Tot pop,Two or more pop,White perc,White pop,Ln(Visitors),Ln(Visits),Pop Dens,Raw Visitor,Raw Visits,r1-r0,Log[r1-r0],Risk Score Tentative Prediction Formula
0.003021148,23,0.014974386,114,0.481938789,3669,0.003016594,0.014863377,0.000656555,0.718498113,4.723046587,4102,0.538815185,Acton,807,0.000656771,5,3.174828417,-0.683766048,100.36,138,4.9344739331,,2.05135,1.2531,1.56505,0.2628,2.05135,67.66479326,7613,271,0.836858006,6371,7.663407665,8.446985296,112.5105041,2129,4661,37.64,3.6542880093,5.1915696611
0.007402533,135,0.07627351,1391,0.504304436,9197,0.007375269,0.073504621,0.000602987,-1.860095309,10.06186518,8335,0.45703789,Adams-Normandie,7793,0.000603169,11,12.28845597,10.86164887,402.34,670.57,6.5096182548,,0.155657794,3.46428,2.06192,1.67858,3.34084,0.778288968,18237,367,0.215057301,3922,10.85707407,11.44857893,23432.17076,51900,93768,268.23,5.5955660329,11.179410687
0.000527899,10,0.062767249,1189,0.513593412,9729,0.00052776,0.060876119,0,0.589519295,8.161058166,9129,0.481919443,Agoura Hills,601,0,0,-3.002977397,-0.985483275,153.23,167.6,5.1275290456,0,1.803121437,0.644633333,1.737233333,0.339366667,1.367333333,5.40936431,18943,636,0.851185134,16124,9.574636203,10.18956834,3501.890225,14395,26624,14.37,2.7324175576,-1.929335233
0,0,0.016691213,68,0.430289642,1753,0,0.016553446,0,0.495366749,4.851205296,1966,0.48257241,Agua Dulce,75,0,0,6.165190526,0.562753412,72.15,216.45,5.381968939,,1.6411,1.2519,1.423,0.3048,1.6411,31.854393,4074,370,0.785468827,3200,10.89642333,11.52750688,127.8944477,53982.93893,101468.8244,144.3,4.9788005706,6.450350861
0.004036529,343,0.507496411,43124,0.511026902,43424,0.004028404,0.410450269,0.001622709,-0.963512332,9.317880664,41442,0.487702121,Alhambra,17814,0.001624026,138,4.437273368,2.243494548,149.9,253.68,5.5400078551,,0.381550398,2.076255,1.66798,1.68503,2.54648,7.63100796,84974,2532,0.22774025,19352,9.737669068,10.30798553,11135.35727,16944,29971,103.78,4.651862914,4.4332766279
0.003334159,148,0.075243867,3340,0.50658947,22487,0.003328613,0.072547489,0.000180209,0.113227932,8.508077496,21700,0.488859853,Altadena,4396,0.000180225,8,-0.246030891,2.485255306,240.72,359.93,5.8886840337,,1.119887162,1.4232375,1.8922125,0.922125,1.85495,8.959097295,44389,2770,0.53308252,23663,10.3772653,11.09012598,4954.628635,32121,65521,119.21,4.7892402133,1.273231203
0.003057169,160,0.616401712,32260,0.552239376,28902,0.003052505,0.480202513,0.001432022,-0.200949567,8.668494044,25623,0.489586518,Arcadia,2935,0.001433048,75,1.811214065,-1.782009628,152.28,277.67,5.6300282861,,0.817953682,1.405354545,1.769390909,1.351672727,1.671363636,8.997490504,52336,1943,0.310226231,16236,10.69614064,11.34948847,5816.733008,44185,84922,125.39,4.8393723647,1.7956332081
0.005918237,195,0.092354851,3043,0.462168806,15228,0.005900793,0.08833578,0,-0.803028395,9.413985117,15639,0.47464263,Arleta,7970,0,0,4.66540836,5.832494152,500.44,852.49,6.7493338257,,0.447970277,2.511916667,1.978633333,1.671666667,2.702566667,2.687821659,32949,781,0.559956296,18450,10.89642333,11.52750688,12258.62582,53982.93893,101468.8244,352.05,5.86660969,5.8033514981
0.001724446,29,0.374561456,6299,0.50621395,8513,0.001722961,0.318134739,0.001663597,-0.615789024,9.247322294,8276,0.492121068,Artesia,2804,0.001664982,28,4.050308558,2.386196293,89.31,226.26,5.4260947365,,0.540214485,2.189966667,2.023266667,1.439666667,3.138533333,1.620643454,16817,618,0.391568056,6585,10.89642333,11.52750688,10376.74262,53982.93893,101468.8244,136.95,4.9268913007,4.6959840393
0.004291462,48,0.216629414,2423,0.465355387,5205,0.00428228,0.19608426,0.004193252,-0.724977193,8.948693778,5154,0.460795709,Atwater Village,2074,0.004202056,47,2.405516215,0.983039398,259.1,354.56,5.8736940114,,0.484335615,1.671066667,1.5285,1.214566667,2.1768,1.453006846,11185,300,0.474564148,5308,9.538204234,10.14792282,7697.830214,13880,25538,95.46,4.5691284146,3.0248232527
0,0,0.000817661,3,0.528754429,1940,0,0.000817327,0,0.200767254,8.00690717,1641,0.447260834,Avalon,527,0,0,-0.882847188,-0.831537078,0,0,0,0,1.222340244,1.4764,2.1242,0.7792,3.6828,1.222340244,3669,338,0.737258108,2705,6.635946556,7.719573989,3001.619245,762,2252,0,0,-0.597461462
